player	year	age	tm	ab	hits	tot
Ichiro Suzuki (w/Japan)	1991	17	Orix	0	0	0
Ichiro Suzuki (w/Japan)	1992	18	Orix	95	24	24
Ichiro Suzuki (w/Japan)	1993	19	Orix	64	12	36
Ichiro Suzuki (w/Japan)	1994	20	Orix	546	210	246
Ichiro Suzuki (w/Japan)	1995	21	Orix	524	179	425
Ichiro Suzuki (w/Japan)	1996	22	Orix	542	193	618
Ichiro Suzuki (w/Japan)	1997	23	Orix	536	185	803
Ichiro Suzuki (w/Japan)	1998	24	Orix	506	181	984
Ichiro Suzuki (w/Japan)	1999	25	Orix	411	141	1125
Ichiro Suzuki (w/Japan)	2000	26	Orix	395	153	1278
Ichiro Suzuki (w/Japan)	2001	27	SEA	692	242	1520
Ichiro Suzuki (w/Japan)	2002	28	SEA	647	208	1728
Ichiro Suzuki (w/Japan)	2003	29	SEA	679	212	1940
Ichiro Suzuki (w/Japan)	2004	30	SEA	704	262	2202
Ichiro Suzuki (w/Japan)	2005	31	SEA	679	206	2408
Ichiro Suzuki (w/Japan)	2006	32	SEA	695	224	2632
Ichiro Suzuki (w/Japan)	2007	33	SEA	678	238	2870
Ichiro Suzuki (w/Japan)	2008	34	SEA	686	213	3083
Ichiro Suzuki (w/Japan)	2009	35	SEA	639	225	3308
Ichiro Suzuki (w/Japan)	2010	36	SEA	680	214	3522
Ichiro Suzuki (w/Japan)	2011	37	SEA	677	184	3706
Ichiro Suzuki (w/Japan)	2012	38	SEA/NYY	629	178	3884
Ichiro Suzuki (w/Japan)	2013	39	NYY	395	116	4000
Ichiro Suzuki (MLB)	2000	26	SEA	0	0	0
Ichiro Suzuki (MLB)	2001	27	SEA	692	242	242
Ichiro Suzuki (MLB)	2002	28	SEA	647	208	450
Ichiro Suzuki (MLB)	2003	29	SEA	679	212	662
Ichiro Suzuki (MLB)	2004	30	SEA	704	262	924
Ichiro Suzuki (MLB)	2005	31	SEA	679	206	1130
Ichiro Suzuki (MLB)	2006	32	SEA	695	224	1354
Ichiro Suzuki (MLB)	2007	33	SEA	678	238	1592
Ichiro Suzuki (MLB)	2008	34	SEA	686	213	1805
Ichiro Suzuki (MLB)	2009	35	SEA	639	225	2030
Ichiro Suzuki (MLB)	2010	36	SEA	680	214	2244
Ichiro Suzuki (MLB)	2011	37	SEA	677	184	2428
Ichiro Suzuki (MLB)	2012	38	SEA/NYY	629	178	2606
Ichiro Suzuki (MLB)	2013	39	NYY	395	116	2722
Pete Rose	1962	21	CIN	0	0	0
Pete Rose	1963	22	CIN	623	170	170
Pete Rose	1964	23	CIN	516	139	309
Pete Rose	1965	24	CIN	670	209	518
Pete Rose	1966	25	CIN	654	205	723
Pete Rose	1967	26	CIN	585	176	899
Pete Rose	1968	27	CIN	626	210	1109
Pete Rose	1969	28	CIN	627	218	1327
Pete Rose	1970	29	CIN	649	205	1532
Pete Rose	1971	30	CIN	632	192	1724
Pete Rose	1972	31	CIN	645	198	1922
Pete Rose	1973	32	CIN	680	230	2152
Pete Rose	1974	33	CIN	652	185	2337
Pete Rose	1975	34	CIN	662	210	2547
Pete Rose	1976	35	CIN	665	215	2762
Pete Rose	1977	36	CIN	655	204	2966
Pete Rose	1978	37	CIN	655	198	3164
Pete Rose	1979	38	PHI	628	208	3372
Pete Rose	1980	39	PHI	655	185	3557
Pete Rose	1981	40	PHI	431	140	3697
Pete Rose	1982	41	PHI	634	172	3869
Pete Rose	1983	42	PHI	493	121	3990
Pete Rose	1984	43	MON/CIN	374	107	4097
Pete Rose	1985	44	CIN	405	107	4204
Pete Rose	1986	45	CIN	237	52	4256
Ty Cobb	1904	17	DET	0	0	0
Ty Cobb	1905	18	DET	150	36	36
Ty Cobb	1906	19	DET	358	113	149
Ty Cobb	1907	20	DET	605	212	361
Ty Cobb	1908	21	DET	581	188	549
Ty Cobb	1909	22	DET	573	216	765
Ty Cobb	1910	23	DET	506	194	959
Ty Cobb	1911	24	DET	591	248	1207
Ty Cobb	1912	25	DET	553	226	1433
Ty Cobb	1913	26	DET	428	167	1600
Ty Cobb	1914	27	DET	345	127	1727
Ty Cobb	1915	28	DET	563	208	1935
Ty Cobb	1916	29	DET	542	201	2136
Ty Cobb	1917	30	DET	588	225	2361
Ty Cobb	1918	31	DET	421	161	2522
Ty Cobb	1919	32	DET	497	191	2713
Ty Cobb	1920	33	DET	428	143	2856
Ty Cobb	1921	34	DET	507	197	3053
Ty Cobb	1922	35	DET	526	211	3264
Ty Cobb	1923	36	DET	556	189	3453
Ty Cobb	1924	37	DET	625	211	3664
Ty Cobb	1925	38	DET	415	157	3821
Ty Cobb	1926	39	DET	233	79	3900
Ty Cobb	1927	40	PHA	490	175	4075
Ty Cobb	1928	41	PHA	353	114	4189
